Specimen from liver obtained by partial resection	C4076133
Specimen from liver obtained by partial resection (specimen)	C4076133
acetaminophen / clemastine / phenylpropanolamine oral product	C3210029
Acetaminophen / Clemastine / Phenylpropanolamine Oral Product	C3210029
laceration of left foot	C2141207
Laceration of left foot	C2141207
Laceration of left foot (disorder)	C2141207
juvenile acne	C0406480
Juvenile acne	C0406480
bacillus subtilis neutral proteinase	C0609827
cyst of lower eyelid	C3838918
methylsulfonylmethane 900 MG	C1812917
deoxycoforomycin 10mg injection	C0778276
