ACUTE PANCREATITIS	C0001339
ACUTE PANCREATITIS	C0001339
GASTROESOPHAGEAL REFLUX DISEASE	C0017168
GERD	C0017168
abdominal pain	C0000737
blood-streaked diarrhea	C0151594
nausea	C0027497
vomiting	C0042963
fevers	C0015967
chills	C0085593
recent weight loss	C1961006
light-headedness	C0220870
dizziness	C0012833
increased urinary frequent	C0042023
normal saline	C0445115
morphine	C0026549
pain	C0030193
further management	C0583980
GERD	C0017168
Pneumonia	C0032285
Prilosec	C0700777
GERD	C0017168
PUD	C0030920
Temp	C0204688
heart rate	C0034107
BP	C0005824
respiratory rate	C1443397
O2 sat	C0523807
lymphadenopathy	C0497156
JVD	C1167958
murmurs	C0018808
rubs	C0232267
gallops	C0232200
non-distended	C0577599
Tender	C0234234
splenomegaly	C0038002
hepatosplenomegaly	C0019214
clubbing	C0149651
cyanosis	C0010520
edema	C0013604
Deep tendon reflexes	C1287940
pain	C0030193
light touch	C0423553
Chem-7	C0438930
Na	C0337443
K	C0202194
Cl	C0201952
bicarb	C0202059
BUN	C0005845
creatinine	C0201975
glucose	C0337438
Liver function tests	C0023901
an ALT	C0201836
AST	C0201899
alk phos	C0201850
T. bili	C0201913
D. bili	C0201916
amylase	C0201883
lipase	C0373670
T. protein	C0555903
albumin	C0201838
globulin	C0877347
Ca	C0201925
CBC	C0009555
White blood cell count	C0023508
hemoglobin	C0587341
hematocrit	C0018935
platelets	C0032181
Imaging studies	C0011923
Abdominal CT scan	C0412620
abscess	C0000833
pseudocyst	C0333161
Bilateral pleural effusion	C0747635
Abdominal ultrasound	C0203464
gallbladder sludge	C0282074
cholelithiasis	C0008350
pleural effusion	C0032227
Chest ( PA and lateral )	C0202793
infiltrates	C0332448
consolidation	C0702116
acute pancreatitis	C0001339
NPO	C0419179
IV fluids	C0522792
Pain control	C1304888
morphine	C0026549
Demerol	C0935966
his epigastric pain	C0232493
His pain medication	C0002771
his symptoms	C0159028
the patient &apos;s epigastric pain	C0232493
a pancreatic complication	C0030286
necrosis	C0027540
abscess	C0000833
a CT scan	C0040405
biliary dilatation	C0585008
necrosis	C0027540
abscess	C0000833
pseudocyst	C0333161
fevers	C0015967
A chest x-ray	C0039985
infiltrate	C0332448
effusion	C0013687
cefotaxime	C0007554
empiric antibiotic treatment	C1299622
An ultrasound	C0041618
cholestasis	C0008370
cholangitis	C0008311
The ultrasound	C0041618
biliary sludge	C0282074
epigastric pain	C0232493
The pain	C0030193
infiltrate	C0332448
the patient &apos;s fever	C0015967
his abdominal pain	C0000737
The cefotaxime	C0007554
infection	C0009450
his symptoms	C0159028
Prilosec	C0700777
Percocet	C0086787
MVI	C0301532
left flank pain	C0423641
sharp	C1444775
urinary urgency	C0085606
collapsed lung	C0004144
partially	C0728938
No known drug allergies	C0262581
discomfort	C2364135
mild	C2945599
Bibasilar	C0225704
palpation	C0030247
left lower quadrant	C0230180
left	C0205091
Point tenderness	C1562820
costovertebral angle	C0524467
pancreas	C0030274
prominent	C0205402
small	C0700321
gallstone	C0008350
compression atelectasis	C0264499
associated	C0332281
swelling	C0038999
body of the pancreas	C0227582
Portable	C0438653
chest	C0817096
cultures	C2242979
swelling	C0038999
body of the pancreas	C0227582
crackles	C0034642
epigastric pain	C0232493
persistent	C0332217
severe	C0205082
occasionally	C0521114
Dilaudid	C0728755
IV	C2317349
Dilaudid	C0728755
IV	C2317349
gallbladder neck	C0227546
mass	C0577559
fever	C0015967
high grade	C0205082
follow-up	C0849584
chest x-ray	C0039985
diet low fat	C0242970
solids	C0205208
pancreatitis	C0030305
high dose	C0444956
Dilaudid	C0728755
pain radiation to the lower abdomen	C1960986
pain radiation to upper quadrant	C1960997
left	C0205091
the pain knife-like	C0278145
Blood cultures	C0200949
urine cultures	C0430404
AMPULLARY ADENOCARCINOMA	C4303159
AMPULLARY ADENOCARCINOMA	C4303159
epigastric pain	C0232493
dizzy	C0012833
fatigue	C0015672
nausea	C0027497
coca cola colored urine	C4047947
constipated	C0009806
hard stool	C0278016
bright red blood per rectum	C0018932
hypertension	C0020538
Serax	C0029997
insomnia	C0917801
iron	C0302583
MVI	C0301532
BP	C0005824
temp	C0204688
pulse	C0034107
respiratory rate	C1443397
jaundiced	C0022346
scleral icterus	C0240962
wheezes	C0043144
rales	C0034642
rhonchi	C0035508
murmur	C0018808
tenderness	C0234233
rebound	C0234246
hepatosplenomegaly	C0019214
incisional scars	C0334150
edema	C0013604
Na	C0337443
K	C0202194
Cl	C0201952
bicarb	C0202059
BUN	C0005845
creatinine	C0201975
glucose	C0337438
CBC	C0009555
White count	C0023508
hematocrit	C0018935
platelets	C0032181
PT	C0033707
PTT	C0030605
INR	C1254541
LDH	C0202113
amylase	C0201883
lipase	C0373670
surgery	C0543467
periampullary adenocarcinoma	C4303159
EGD directed biopsy	C2960784
a Whipple procedure	C0085162
complications	C0009566
The NG tube	C0085678
clear liquids	C2184084
Sandostatin	C0678117
Percocet	C0086787
pain	C0030193
Axid	C0678129
Colace	C0282139
weight loss	C1262477
No known drug allergies	C0262581
auscultation	C0004339
bilaterally	C0238767
left	C0205091
renal mass	C0262613
palpation	C0030247
alkaline phosphatase	C0201850
bilirubins	C0344395
transaminases	C0014440
elevated	C0205250
renal oncocytoma	C0346255
barium enema	C0203075
The ultrasound	C0041618
ascites	C0003962
pelvic mass	C0347944
the 3C ovarian carcinoma	C1828115
an omentectomy	C0198614
ileostomy	C0020883
Cytoxan	C0010583
Cisplatin	C0008838
debulking	C1706406
a total abdominal hysterectomy/	C0404079
bilateral salpingo-oophorectomy	C0195495
omentectomy	C0198614
splenectomy	C0037995
rectosigmoid resection	C0193063
a take down of the ileostomy	C0192775
ileal cecal resection	C0400056
MDR	C0458084
Cisplatin	C0008838
VP 16	C0733688
an embolectomy	C0162575
Coumadin	C0699129
Ativan	C0699194
Lomotil	C0065164
shellfish allergy	C0577625
an Iodine allergy	C0571817
physical exam	C0031809
The blood pressure	C0005824
heart rate	C0034107
weight	C1261467
alopecia	C0002170
nontender	C0520960
exam	C0031809
a white blood cell	C0023508
ANC	C0200633
hematocrit	C0018935
platelets	C0032181
BUN	C0005845
creatinine	C0201975
magnesium	C0373675
calcium	C0201925
packed red blood cells	C2316467
her hematocrit	C0018935
a magnesium	C0024467
chemotherapy	C3665472
Cisplatin	C0008838
VP 16	C0733688
chemotherapy	C3665472
Coumadin	C0699129
The patient &apos;s pro time	C0033707
adjustments	C0456081
further evaluation	C0420266
her hypertension	C0020538
further management	C0583980
chemotherapy	C3665472
Coumadin	C0699129
Ativan	C0699194
Lomotil	C0065164
no known drug allergies	C0262581
bilateral	C0238767
cardiac exam	C0562319
mild	C2945599
left upper quadrant tenderness	C3164167
significant	C0750502
lymphadenopathy	C0497156
VP 16	C0733688
Cisplatin	C0008838
chemotherapy	C3665472
Serial	C0205549
PTs	C0033707
initial	C0205265
PT	C0033707
pro time checks	C0033707
some	C0205392
hypertension	C0020538
prior	C0205156
chemotherapy	C3665472
PAPILLARY SEROUS CARCINOMA	C0334361
STAGE 3C CARCINOMA OF THE OVARY	C1828115
papillary serous carcinoma	C0334361
Stage 3C carcinoma of the ovary	C1828115
stenotic area sigmoid	C0555220
sigmoid	C0227391
mid	C0444598
well	C0205170
healed	C0205249
midline	C0549183
abdominal scar	C0577123
other	C0205394
lower quadrant	C0230184
VP 16	C0733688
infusion	C0574032
tenderness	C0234233
Pancreatic carcinoma	C0235974
Laparoscopy	C0031150
biopsy	C0005558
the pain	C0030193
a CT scan	C0040405
a mass	C0577559
an exploratory laparoscopy	C1880304
spinal stenosis	C0037944
operations	C0543467
repair	C0374711
a ureteral stricture	C3887590
cataract implants	C1532399
an appendectomy	C0003611
Oxycontin	C0722364
Darvocet	C1384520
Estratab	C0717752
Aspirin	C0004057
The blood pressure	C0005824
pulse	C0034107
respirations	C1443397
auscultation	C0004339
murmurs	C0018808
palpable masses	C0746412
a diagnostic laparoscopy	C1880304
peritoneal washings	C0031148
one nodule	C0028259
one nodule	C0028259
Specimens	C0370003
peritoneal washings	C0031148
complications	C0009566
the procedure	C0184661
uncomfortable	C2364135
aspirin	C0004057
Percocet	C0086787
pain	C0030193
Estratab	C0717752
cytopathology specimens	C0225355
surgical pathology specimens	C1647891
increasing	C0442808
pain in her left upper quadrant	C0238552
partial hysterectomies	C1270947
No known drug allergies	C0262581
some	C0205392
abdominal bloating	C1291077
repeated	C0205341
Fleet &apos;s enemas	C0117857
associated	C0332281
weight loss	C1262477
permanent	C0205355
specimens from the liver	C1292599
falciform	C0230240
nodules	C0028259
subcutaneous emphysema	C0038536
abdomen	C0000726
over	C0205136
cramping	C1446787
abdominal	C0000726
mild	C2945599
ileus	C4019039
PAPILLARY ADENOCARCINOMA OF THE LUNG	C3873370
Papillary adenocarcinoma of the lung	C3873370
A flexible bronchoscopy	C1301741
emphysema	C0013990
broncho-alveolar carcinoma	C0007120
flexible bronchoscopy	C1301741
mediastinoscopy	C0025065
thoracotomy	C0039991
pneumonectomy	C2082610
a persistent cough	C0562483
fever	C0015967
pneumonia	C0032285
paroxysmal nocturnal dyspnea	C1956415
orthopnea	C0085619
hemoptysis	C0019079
fevers	C0015967
chills	C0085593
sweats	C0038990
pneumonia	C0032285
a loss of weight	C1262477
lower extremity weakness	C0751410
A &quot; spot &quot; in the left lower lobe	C0577915
chest X-ray	C0039985
his pneumonia	C0032285
flexible bronchoscopy	C1301741
allergic	C3539909
Percodan	C2684258
itchiness	C0033774
Triamcinolone	C0040864
Xanax	C0699034
anxiety	C0003467
MS Contin	C0700786
peripheral vascular disease	C0085096
partial gastrectomy	C0030600
peptic ulcer disease	C0030920
The review of systems	C0489633
anxiety	C0003467
physical examination	C0031809
thyromegaly	C0018021
rhonchorous	C0035508
auscultation	C0004339
percussion	C0030987
Cardiovascular exam	C0436125
murmur	C0018808
rub	C0232267
gallop	C0232200
palpable masses	C0746412
Pulses	C0034107
clubbing	C0149651
cyanosis	C0010520
edema	C0013604
The neurological examination	C0027853
potassium	C0202194
chloride	C0201952
bicarbonate	C0202059
BUN	C0005845
creatinine	C0201975
glucose	C0337438
calcium	C0201925
liver function tests	C0023901
albumin	C0201838
globulin	C0877347
a white blood count	C0023508
hematocrit	C0018935
hemoglobin	C0587341
platelet count	C0032181
The arterial blood gases	C0150411
The pulmonary function tests	C0024119
an FEV1	C0429706
FVC	C1287681
FEV1/FVC ratio	C0429745
DLCO	C0199525
Albuterol	C0001927
Atrovent metered dose inhalers	C1967872
surgery	C0543467
his procedure	C0184661
complications	C0009566
thickened pleura	C0264545
oxygen saturations	C0523807
an Fi02	C0428648
alpha hemolytic Streptococcus	C0318153
culture	C2242979
penicillin	C0220892
Gentamicin	C3854019
Flagyl	C0699678
Ampicillin	C0002680
Gentamicin	C3854019
low grade temperatures	C0239574
a high temperature	C0015967
afebrile	C0277797
The chest X-ray	C0039985
penicillin	C0220892
Gentamicin	C3854019
Ciprofloxacin	C0008809
Flagyl	C0699678
Tylenol # 3	C0874799
Xanax	C0699034
Ciprofloxacin	C0008809
Flagyl	C0699678
worsening	C0332271
dyspnea	C0013404
increased	C0205217
fatigue	C0015672
follow up	C0849584
chest computerized tomography scan	C0202823
supraclavicular adenopathy	C0749155
axillary adenopathy	C0578735
Admission	C0457453
sodium	C0337443
complete blood count	C0009555
on admission	C0457453
quantitative	C0392762
V / Q scan	C0560738
multiple	C0439064
adhesions	C0001511
slight	C2937276
increase	C0442805
left pleural fluid	C0225788
lobectomy	C0023928
extrapleural	C0442091
pleural	C1522720
adenocarcinoma	C0001418
well differentiated	C0205615
tissue	C0040300
biopsy	C0005558
under	C0542339
rib cage	C0222762
sharp pain	C0455270
occasional	C0521114
peptic ulcer disease	C0030920
Distant	C0443203
thumb lost	C0160628
middle finger lost	C0433630
right	C0205090
submaxillary lymph node	C0229725
scar	C2004491
parasagittal	C0522491
abscess	C0000833
near the margin	C0205284
fissure	C0332469
major	C0205164
left lower lobe	C1261077
nodule	C0028259
firm	C0205233
left lower lobe	C1261077
left lower lobe	C1261077
PELVIC MASS	C0347944
Pelvic mass	C0347944
hypertension	C0020538
ERT	C0474186
a pelvic mass	C0347944
resection	C0728940
the mass	C0577559
An MRI	C0024485
Lupron	C0701459
pain	C0030193
Vicodin ES	C3497606
Ultram	C0724054
the patient &apos;s pain	C0030193
nausea	C0027497
vomiting	C0042963
an inability to tolerate p.o. intake	C0011168
fevers	C0015967
chills	C0085593
vaginal discharge	C0227791
bleeding	C0019080
Potassium	C0202194
White count	C0023508
Hematocrit	C0018935
intravenous fluid	C0559692
potassium	C0032821
Demerol	C0935966
pain control	C1304888
clindamycin	C0008947
Valium	C0699187
droperidol	C0013136
Hypothyroidism	C0020676
arthritis	C0003864
hypertension	C0020538
hypercholesterolemia	C0020443
anemia	C0002871
asthma	C0004096
A TAH-BSO	C0542407
an exploratory laparotomy	C0085704
resection	C0728940
a pelvic mass	C0347944
Vicodin	C0483514
Ultram	C0724054
Verapamil	C0042523
Synthroid	C0728762
HCTZ	C0020261
Arthrotec	C0210355
Advair	C0965130
Tofranil	C0025231
Ambien	C0487782
Trazadone	C0040805
Ferrous sulfate	C0060282
Colace	C0282139
Her allergies	C3539909
penicillin	C0220892
throat edema	C0236024
vancomycin	C0042313
levofloxacin	C0282386
Flagyl	C0699678
Cultures	C2242979
Blood cultures	C0200949
fistula	C0016169
abscess	C0000833
Blood cultures	C0200949
C. perfringens	C0009063
DVT	C0149871
PE	C0034065
resection	C0728940
the pelvic mass	C0347944
rectosigmoid resection	C0193063
SBR	C0192601
removal	C0015252
a vaginal tumor	C0042258
omentectomy	C0198614
an enterotomy	C0192579
a PCEA	C1301707
pain	C0030193
anxious	C0003467
imipramine	C0020934
trazadone	C0040805
Ambien	C0487782
enalapril	C0014025
hydralazine	C0020223
labetalol	C0022860
metoprolol	C0025859
lisinopril	C0065374
hydrochlorothiazide	C0020261
Hydralazine	C0020223
Blood pressure	C0005824
high	C0205250
an SBP	C0871470
amlodipine	C0051696
that blood pressure	C0005824
blood pressure	C0005824
nebulizer treatment	C0199447
Advair	C0965130
Advair	C0965130
anxiety	C0003467
psychiatric issues	C0004936
tachycardia	C0039231
abdominal pain	C0000737
A chest x-ray	C0039985
A CT	C0040405
free air	C0032320
a small bowel enterotomy	C0192589
Intraoperatively	C0456904
hypotension	C0020649
respiratory insufficiency	C0035229
intubated	C0021925
NPO	C0419179
an NG tube	C0085678
clear sips	C2184084
TPN	C0030548
nutritional supplementation	C0242295
the NG tube	C0085678
clears	C2184084
a PICC line	C0179740
TPN	C0030548
calorie counts	C0489460
removal of the ureteral stents	C1278795
Infectious Disease	C0009450
Blood cultures	C0200949
C. perfringens	C0009063
levofloxacin	C0282386
Flagyl	C0699678
vancomycin	C0042313
levofloxacin	C0282386
Flagyl	C0699678
doxycycline	C0013090
fluconazole	C0016277
Blood cultures	C0200949
JP drain	C3874363
cultured	C2242979
aurine culture	C0430404
blood culture	C0200949
the patient &apos;s white blood count	C0023508
fever	C0015967
antibiotics	C0003232
the white blood cell count	C0023508
sub .q. heparin	C0353681
DVT prophylaxis	C2585945
erythema	C0041834
heparin	C0019134
Lovenox	C0728963
hypothyroidism	C0020676
insulin sliding scale	C0557977
fingersticks	C0457575
TPN	C0030548
severe	C0205082
left lower quadrant pain	C0238551
CT	C0040405
Other	C0205394
blood culture	C0200949
bilateral	C0238767
stent placement	C0522776
lysis of adhesions	C0012826
left	C0205091
ureterolysis	C0194341
Dilaudid	C0728755
PCA	C0078944
elevated	C0205250
surgery	C0543467
nasal cannula	C0878881
initial	C0205265
surgery	C0543467
increased	C0205217
shortness of breath	C0013404
emergent	C0175673
exploratory laparotomy	C0085704
emergent	C0175673
exploratory laparotomy	C0085704
peroration	C0549099
empiric	C1299597
vancomycin	C0042313
exploratory laparotomy	C0085704
bands	C0200634
second	C0205436
other	C0205394
symptoms	C0159028
Lovenox	C0728963
therapy	C0087111
left lower quadrant mass	C3874410
cystic	C1276428
solid	C1276437
components	C0449432
left lower quadrant pain	C0238551
pain in the groin	C0239783
rectosigmoid	C0521377
mass	C0577559
tumor	C0027651
left lower quadrant	C0230180
PE protocol	C0150207
CT	C0040405
depression	C0011581
poorly controlled	C3853134
baseline	C1290922
hypertension	C0020538
free air under the diaphragm	C0032320
increased	C0205217
bilious fluid	C0005388
peritoneum	C0031153
abdominal pain	C0000737
increased	C0205217
similar	C0445247
episode	C0332189
site of	C2945843
previous	C0205156
repair	C0374711
diet	C0012155
advancement	C0730463
low	C0205251
stoma output	C3698358
right	C0205090
IJ line	C0445377
site	C2945843
right	C0205090
IJ line	C0445377
bilateral	C0238767
upper extremity Dopplers	C4039428
IJ clot	C0745497
right	C0205090
home	C0442519
Synthroid	C0728762
dose	C0178602
no growth	C0445119
Right LE pain	C0564823
Pain	C0030193
Headache	C0018681
Temperature	C0204688
OXYCODONE	C0030049
Pain	C0030193
Pain	C0030193
NKA	C0262580
R leg pain	C0564823
Right LE pain	C0564823
DM	C0011849
Pelvis XR	C0554740
this problem	C0033213
a steroid injection	C1261311
the pain	C0030193
numbness	C0028643
weakness	C3714552
fever	C0015967
nausea	C0027497
vomiting	C0042963
diarrhea	C0011991
chest pain	C0008031
the pain	C0030193
urinary incontinence	C0042024
any changes in bowel habits	C0278008
Non-insulin-requiring diabetes mellitus	C0011860
hypercholesterolemia	C0020443
Metformin	C0025598
Zocor	C0678181
analgesics	C0002771
pain	C0030193
afebrile	C0277797
The oxygen saturation	C0523807
head trauma	C0018674
scleral icterus	C0240962
lymphadenopathy	C0497156
murmurs	C0018808
rubs	C0232267
gallops	C0232200
nontender	C0520960
masses	C1265602
organomegaly	C4075263
cyanosis	C0010520
clubbing	C0149651
edema	C0013604
lesions	C0577305
rashes	C0015230
Neurologic examination	C0027853
Straight leg raise test	C0422926
pain	C0030193
positive	C1446409
Psychiatric examination	C0204480
lumbar tenderness	C0575447
point tenderness	C1562820
An MRI of the spine	C0177803
an infectious process	C0745283
afebrile	C0277797
ESR	C1176468
CPR	C0201657
painful	C0030193
supplemental oxygen	C1135276
pneumoboots	C3494658
lovenox	C0728963
DVT prophylaxis	C2585945
her chronic pain management	C1443473
narcotics	C0027409
fevers	C0015967
vomiting	C0042963
swelling	C0038999
discharge	C0012621
your incision	C3543005
ACETAMINOPHEN	C0000970
TYLENOL	C0699142
COLACE	C0282139
DOCUSATE SODIUM	C0243237
sedation	C0235195
excesive	C0442802
FLEXERIL	C0728797
CYCLOBENZAPRINE HCL	C0125988
Spien MRI	C0177803
PT	C0949766
hip Xray	C2959422
R	C0205090
low back pain	C0024031
severe	C0205082
low back pain	C0024031
worsening	C0332271
right leg	C0230415
shock like intensity	C4509826
analgesics	C0002771
oral	C2316867
review of systems	C0489633
detailed	C0205197
uncomfortable	C2364135
Examination	C0031809
back	C1995000
L4/5 facet	C4281768
enhancement	C0443285
facet	C0222679
hypertrophy	C0020564
elevated	C0205250
mildly	C2945599
pelvis	C0030797
AP	C0442212
films	C0043303
R hip	C0524470
RLE	C0230415
Physical examination	C0031809
mild pain	C0278138
right hip	C0524470
medications	C0013216
home	C0442519
motrin	C0699203
advil	C0593507
redness	C0332575
increased	C0205217
Carotid stenosis	C0007282
Aortic stenosis	C0003507
Coronary artery disease	C1956346
aortic stenosis	C0003507
chest pain	C0008031
evaluation	C1261322
aortic valve replace-ment	C0003506
exertional angina	C0577698
chest pain	C0008031
light-headedness	C0220870
light-headedness	C0220870
chest pain	C0008031
light-headedness	C0220870
shortness of breath	C0013404
diaphoresis	C0700590
nausea	C0027497
vomiting	C0042963
the episodes	C0332189
The pain	C0030193
light-headedness	C0220870
evaluation	C1261322
aortic valve replacement	C0003506
hypercholesterolemia	C0020443
hypertension	C0020538
diabetes	C0011849
aortic stenosis	C0003507
echocardiogram	C0013516
left ventricular hypertrophy	C0149721
ejection fraction	C0232174
an aortic valve gradient	C0428905
uterine fibroids	C0042133
total abdominal hysterectomy	C0404079
glaucoma	C0017601
hypertension	C0020538
aspirin	C0004057
physical examination	C0031809
afebrile	C0277797
blood pressure	C0005824
heart rate	C0034107
JVD	C1167958
